Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Sigma Finer,Best Variance Explained Coarse,Best Variance Explained Finer,Source Eccentricity,Source Polar Angle
752,631,0.6897959183673469,0.6832617187500001,0.8102128896337821,0.8102350263660149,3.887242226927896,-2.278084577142511
753,496,0.6897959183673469,0.7418000637755102,0.8524639157730747,0.8532495892845217,3.853227580758522,-2.1762806573339937
751,796,0.4765306122448979,0.4372540656887755,0.7680052288595779,0.7684245331590284,3.7037008806255005,-2.505445946653119
757,1280,0.05,0.05,0.7993883506478973,0.7993883506478973,3.640431287834964,-2.635933352803587
576,1281,0.2632653061224489,0.3301100127551019,0.8440461842899813,0.845429125921121,3.842613252946259,-2.6874587753032224
112573,1259,0.2632653061224489,0.3801407047193875,0.7489260363591548,0.7494461097760369,5.802323553267049,-1.9818781566325905
441,1280,0.2632653061224489,0.2575577965561224,0.825819072639656,0.8258199549177694,3.640431287834964,-2.635933352803587
451,816,0.903061224489796,0.8183110451211735,0.7546020616980474,0.7568632224486613,3.3983858301950454,-2.0988229784171457
117253,1280,0.05,0.05,0.8102862528950692,0.8102862528950692,3.640431287834964,-2.635933352803587
442,1281,0.2632653061224489,0.3054288903061223,0.8417378363183781,0.8421799026238002,3.842613252946259,-2.6874587753032224
583,785,0.903061224489796,0.8368308553890305,0.8310149245484039,0.8328301458333347,5.718859575262301,-1.9424532285291283
450,797,1.1163265306122447,1.030966796875,0.7924517380373628,0.7942827900684437,4.26478781647062,-1.9212109617469342
449,116423,0.4765306122448979,0.5608541932397961,0.8262850260902486,0.8284971397405606,5.0843846742154,-1.8943684662225537
585,803,0.6897959183673469,0.6423724489795918,0.7833029262931696,0.784080229393165,3.931081169092769,-2.4850198908202086
580,1027,0.4765306122448979,0.4499119100765305,0.8454085030410009,0.8456228545127413,3.791082389526315,-2.5738668781968763
446,1259,0.05,0.05,0.7517363893247391,0.7517363893247391,5.802323553267049,-1.9818781566325905
332,1280,0.05,0.05,0.7757287705413125,0.7757287705413125,3.640431287834964,-2.635933352803587
333,101805,0.05,0.05,0.6798916102521113,0.6798916102521113,5.593890814269272,-2.7835410274115016
327,3172,0.05,0.05,0.6832061249404316,0.6832061249404316,5.694323594043122,-2.8292885463305057
331,643,0.6897959183673469,0.7563504464285715,0.773756710756842,0.7755543624591568,3.8486396403136087,-2.0073205041861835
162,3172,0.05,0.05,0.6849336423905239,0.6849336423905239,5.694323594043122,-2.8292885463305057
328,3172,0.05,0.05,0.7322624848606785,0.7322624848606785,5.694323594043122,-2.8292885463305057
163,3172,0.05,0.05,0.713202181692677,0.713202181692677,5.694323594043122,-2.8292885463305057
