Target Vertex Index,Source Vertex Index,Best Sigma Coarse,Best Sigma Finer,Best Variance Explained Coarse,Best Variance Explained Finer
7992,98729,1.1163265306122447,1.1171441525829082,0.927144509487443,0.927144676938015
7978,111737,0.9030612244897959,0.9326929209183672,0.9409903856085476,0.9411661916953394
8634,5048,0.4765306122448979,0.5474517697704082,0.9527611627375627,0.9530580658078751
115434,6107,1.1163265306122447,1.0560950454400508,0.9269777517855187,0.9276340474849375
7354,6069,1.1163265306122447,1.0769716597576526,0.8827325338104011,0.8833511989538382
7991,6632,1.1163265306122447,1.1421088767538263,0.8951924498693262,0.8954477542592695
7368,6069,1.1163265306122447,1.1526834542410713,0.902846204496265,0.9032799355733927
104031,7271,1.1163265306122447,1.1467420679209182,0.892315605404103,0.8926696058382465
7353,6069,0.9030612244897959,0.9340157645089284,0.7924983437180035,0.793439546930187
7977,6632,1.1163265306122447,1.0242077885841838,0.8264390542054754,0.8305566361094007
109101,110830,0.9030612244897959,0.9774932238520408,0.9368254506117453,0.937802814369564
8633,5048,0.05,0.05,0.9484760596555168,0.9484760596555168
7965,7271,0.9030612244897959,0.9714081433354591,0.8018173760847922,0.8054403094832763
7341,98729,0.05,0.05,0.7103179438265939,0.7103179438265939
7976,3582,0.26326530612244897,0.3799350286989793,0.6828271743418013,0.6901239389815055
7340,3159,0.4765306122448979,0.4549378188775509,0.5936725272080213,0.5955923254448218
7975,3582,0.05,0.05,0.574345431687173,0.574345431687173
8617,3582,0.26326530612244897,0.38368861607142823,0.6860012871069104,0.6933956017173475
8616,3582,0.05,0.05,0.6251091770134198,0.6251091770134198
7339,3159,0.4765306122448979,0.43557876275510204,0.564061053239888,0.5715213288142731
7974,3582,0.05,0.05,0.5863854790829628,0.5863854790829628
8615,3582,0.05,0.05,0.6024621478653329,0.6024621478653329
7990,3159,0.4765306122448979,0.4486088966836734,0.5990158690039951,0.6023782144844183
8631,3582,0.05,0.05,0.6384027686042593,0.6384027686042593
8648,3582,0.05,0.05,0.6012850689063802,0.6012850689063802
8618,7271,0.9030612244897959,0.9386898118622449,0.7921113600345047,0.7932204657628692
8632,102609,1.1163265306122447,1.1510482102997448,0.9078212795854443,0.9081148354641223
7404,5555,1.1163265306122447,1.1848977598852037,0.8942058848563917,0.8951024041482594
7420,100343,1.3295918367346937,1.3558201132015304,0.8764464251130001,0.8765609386958131
6765,5556,1.1163265306122447,1.1712707270408163,0.9033236973741534,0.9038349359613057
6764,98729,1.3295918367346937,1.2945991609534437,0.9135516241779964,0.9137391380319109
6746,5536,1.1163265306122447,1.1530650111607141,0.9201608356585971,0.920513607590508
6731,6070,1.1163265306122447,1.1561719746492347,0.911857329233639,0.91233896654645
6730,6069,1.1163265306122447,1.092233936543367,0.8727316011784444,0.8729338234855926
7367,5524,0.9030612244897959,0.9490961814413266,0.8434417635117406,0.8447773854822858
6729,4975,1.1163265306122447,1.0353274473852039,0.8500123895798871,0.8528990166001338
7366,3159,0.6897959183673469,0.5806006855867345,0.7539570224531954,0.7704441345355655
7352,3159,0.4765306122448979,0.4636866230867346,0.6456978630621959,0.6463842198172498
6728,3159,0.4765306122448979,0.5468002630739798,0.7537139266274432,0.7683006932447665
7365,3159,0.4765306122448979,0.47466916454081626,0.6973910031805103,0.6974054430110892
6727,3159,0.4765306122448979,0.4890953842474489,0.7307069684880236,0.7313178645431386
7364,3159,0.4765306122448979,0.44469985650510196,0.6659864303496914,0.6706925578620092
107905,3159,0.26326530612244897,0.39993702168367307,0.544769864378946,0.5691408551140067
119042,3159,0.4765306122448979,0.5042661830357142,0.749383061481047,0.7521984205525721
8008,3159,0.4765306122448979,0.42217633928571424,0.6000171704251145,0.614397532846624
7350,3159,0.4765306122448979,0.4109145806760204,0.5558618486199423,0.5769714351686632
7384,3159,0.4765306122448979,0.46247668207908155,0.6981576941587171,0.6990258870107362
7351,3159,0.4765306122448979,0.409332350127551,0.537899742795604,0.5597896259894869
99704,3159,0.4765306122448979,0.43436882174744895,0.5829385854402473,0.5910992003197822
7333,4977,1.1163265306122447,1.148104771205357,0.8625607987846499,0.8629857644615664
7979,5526,1.1163265306122447,1.0324930245535715,0.8589431056395027,0.8606349915850455
7332,4978,1.1163265306122447,1.0952318837691324,0.8208603224005848,0.8212189196497688
6703,4978,1.1163265306122447,1.138892897002551,0.8439429741347361,0.8443165932762202
